date,incidence,rt_mean,rt_lower,rt_upper,source,fixed_rt,epiestim_rt_mean,mcmc_rt_mean
2020-01-23,0.0,0.999999995,0.999999995,0.999999995,warmup_fixed,0.999999995,,0.9999999950000384
2020-01-24,105.0,53.499999465,53.499999465,53.499999465,warmup_fixed,53.499999465,,53.499999464999064
2020-01-25,212.0,132.88575753418283,132.88575753418283,132.88575753418283,warmup_fixed,132.88575753418283,,132.88575753418266
2020-01-26,297.0,66.22176597667764,66.22176597667764,66.22176597667764,warmup_fixed,66.22176597667764,,66.2217659766765
2020-01-27,365.0,24.77920220269621,24.77920220269621,24.77920220269621,warmup_fixed,24.77920220269621,,24.77920220269685
2020-01-28,2131.0,26.95755242987378,26.95755242987378,26.95755242987378,warmup_fixed,26.95755242987378,,26.95755242987281
2020-01-29,0.0,11.921470390106455,11.921470390106455,11.921470390106455,epiestim_fixed,11.921470390106455,11.921470390106455,11.921470390106242
2020-01-30,1349.0,7.840864820966315,7.840864820966315,7.840864820966315,epiestim_fixed,7.840864820966315,7.840864820966313,7.84086482096612
2020-01-31,903.0,4.777287557622671,4.777287557622671,4.777287557622671,epiestim_fixed,4.777287557622671,4.777287557622671,4.777287557622766
2020-02-01,1347.0,3.5524397089459936,3.5524397089459936,3.5524397089459936,epiestim_fixed,3.5524397089459936,3.5524397089459936,3.5524397089459137
2020-02-02,4024.0,3.8817893594348956,3.8817893594348956,3.8817893594348956,epiestim_fixed,3.8817893594348956,3.881789359434895,3.881789359435012
2020-02-03,2345.0,3.4605016461666263,3.4605016461666263,3.4605016461666263,epiestim_fixed,3.4605016461666263,3.4605016461666267,3.460501646166512
2020-02-04,3156.0,2.85796920654634,2.85796920654634,2.85796920654634,epiestim_fixed,2.85796920654634,2.8579692065463402,2.8579692065462523
2020-02-05,2987.0,2.6591220886470666,2.6591220886470666,2.6591220886470666,epiestim_fixed,2.6591220886470666,2.6591220886470666,2.6591220886469995
2020-02-06,2447.0,2.2005772654375253,2.2005772654375253,2.2005772654375253,epiestim_fixed,2.2005772654375253,2.2005772654375253,2.20057726543748
2020-02-07,2841.0,1.9692436194033056,1.9692436194033056,1.9692436194033056,epiestim_fixed,1.9692436194033056,1.9692436194033056,1.9692436194032756
2020-02-08,2147.0,1.7078289742535402,1.7078289742535402,1.7078289742535402,epiestim_fixed,1.7078289742535402,1.7078289742535402,1.7078289742535182
2020-02-09,2531.0,1.3563723111740957,1.3563723111740957,1.3563723111740957,epiestim_fixed,1.3563723111740957,1.3563723111740957,1.3563723111741157
2020-02-10,2097.0,1.181366820064117,1.181366820064117,1.181366820064117,epiestim_fixed,1.181366820064117,1.181366820064117,1.1813668200641436
2020-02-11,1638.0,0.9881764503325484,0.9881764503325484,0.9881764503325484,epiestim_fixed,0.9881764503325484,0.9881764503325484,0.9881764503325169
2020-02-12,0.0,0.0015978045615960056,0.00046239774834323804,0.0035874034416000303,mcmc_conditioned,0.7687938600491704,0.7687938600491704,0.0015978045615960056
2020-02-13,14840.0,6.175684321805067,6.096314553582324,6.253564462681482,mcmc_conditioned,1.4373596006596752,1.4373596006596752,6.175684321805067
2020-02-14,6200.0,2.84786264556844,2.7866559806316062,2.9073544153757593,mcmc_conditioned,1.6455986999337993,1.6455986999337993,2.84786264556844
2020-02-15,1843.0,0.721860386672503,0.6948236798244339,0.7500471851500149,mcmc_conditioned,1.638127720773183,1.638127720773183,0.721860386672503
2020-02-16,1933.0,0.4958516031302578,0.47643843864399443,0.51519605070418,mcmc_conditioned,1.5065913874368253,1.5065913874368253,0.4958516031302578
2020-02-17,1807.0,0.35544825548090464,0.34087092220251436,0.36970568236008633,mcmc_conditioned,1.3259509285109279,1.3259509285109279,0.35544825548090464
2020-02-18,1693.0,0.32233000940311096,0.30912158710805265,0.33582696455537847,mcmc_conditioned,1.1840569407555186,1.1840569407555184,0.32233000940311096
2020-02-19,349.0,0.07638418989396444,0.07011347153100184,0.0830400672564998,mcmc_conditioned,1.10470298686711,1.10470298686711,0.07638418989396444
2020-02-20,411.0,0.11223982126805673,0.10324319663697307,0.12152893012223578,mcmc_conditioned,0.5233582893006367,0.5233582893006367,0.11223982126805673
2020-02-21,220.0,0.07959075844082278,0.07066137655371542,0.08869007012160694,mcmc_conditioned,0.2968660578404541,0.2968660578404541,0.07959075844082278
2020-02-22,1422.0,0.6966911857745808,0.6692424459063353,0.7257190547635897,mcmc_conditioned,0.28703038946879494,0.28703038946879494,0.6966911857745808
2020-02-23,0.0,0.001899938542224567,0.0006746607523425615,0.004147506650037586,mcmc_conditioned,0.23775226438851038,0.2377522643885104,0.001899938542224567
2020-02-24,203.0,0.19917275973783258,0.17688309918445766,0.22090539332008816,mcmc_conditioned,0.20705456852901385,0.20705456852901388,0.19917275973783258
2020-02-25,499.0,0.6155680379958917,0.5707189031067448,0.6655931001041578,mcmc_conditioned,0.19015687839962472,0.1901568783996247,0.6155680379958917
2020-02-26,401.0,0.5984196030565956,0.5510251204470591,0.6460649975582925,mcmc_conditioned,0.25421918065992116,0.2542191806599211,0.5984196030565956
2020-02-27,409.0,0.7549318436240899,0.6955050239416743,0.8169313991395561,mcmc_conditioned,0.3390348309891331,0.3390348309891332,0.7549318436240899
2020-02-28,318.0,0.6887287259259225,0.6282654581556463,0.7516309824291538,mcmc_conditioned,0.4662923490797408,0.4662923490797409,0.6887287259259225
2020-02-29,423.0,1.0060934100616812,0.9265155251665934,1.0863038273505574,mcmc_conditioned,0.42061512283977015,0.42061512283977015,1.0060934100616812
2020-03-01,570.0,1.4145265256964548,1.3200435965368214,1.5087451230585789,mcmc_conditioned,0.6510659446427726,0.6510659446427726,1.4145265256964548
2020-03-02,196.0,0.5017063909292642,0.44484255400896505,0.5633002861422418,mcmc_conditioned,0.759872163495105,0.759872163495105,0.5017063909292642
2020-03-03,114.0,0.2881466501839274,0.24502048833242474,0.3361836927596486,mcmc_conditioned,0.7394807494032652,0.7394807494032652,0.2881466501839274
2020-03-04,115.0,0.28684846507396,0.24231024462265466,0.3333389552775786,mcmc_conditioned,0.7096312223594455,0.7096312223594455,0.28684846507396
2020-03-05,134.0,0.3539172649110105,0.3029687488995345,0.40409453790073196,mcmc_conditioned,0.6537393909225594,0.6537393909225594,0.3539172649110105
2020-03-06,126.0,0.39710986217353883,0.34168564541252316,0.4579730962827026,mcmc_conditioned,0.6162427875848334,0.6162427875848334,0.39710986217353883
2020-03-07,74.0,0.28837013752298435,0.23634396704157,0.3436795678087292,mcmc_conditioned,0.5197045832878912,0.5197045832878912,0.28837013752298435
