date,incidence,hybrid_rt_mean,hybrid_rt_lower,hybrid_rt_upper,source,mcmc_rt_mean,epiestim_rt_mean
2020-01-23,0.0,,,,warmup,7.0243705422350295,
2020-01-24,105.0,,,,warmup,10258121067.36709,
2020-01-25,212.0,,,,warmup,535.2645734695557,
2020-01-26,297.0,,,,warmup,43.30760434291072,
2020-01-27,365.0,,,,warmup,12.070214983681119,
2020-01-28,2131.0,,,,warmup,28.14054454323445,
2020-01-29,0.0,11.921470390106455,11.579841728008311,12.284760739008638,epiestim,0.014600612396468137,11.921470390106455
2020-01-30,1349.0,7.840864820966313,7.652433680172056,8.041903265163674,epiestim,4.387760309416725,7.840864820966313
2020-01-31,903.0,4.777287557622671,4.670986240532661,4.884893440584919,epiestim,1.6994502827886355,4.777287557622671
2020-02-01,1347.0,3.5524397089459936,3.4785521211020956,3.6282892756217553,epiestim,1.9258120108195729,3.5524397089459936
2020-02-02,4024.0,3.881789359434895,3.8195533521351597,3.9458085707365824,epiestim,4.935157351933278,3.881789359434895
2020-02-03,2345.0,3.4605016461666267,3.4081448874132314,3.513379565604074,epiestim,2.55062012811651,3.4605016461666267
2020-02-04,3156.0,2.8579692065463402,2.8178119830400243,2.899288227271583,epiestim,2.69277528281365,2.8579692065463402
2020-02-05,2987.0,2.6591220886470666,2.626421002243368,2.6947792405807336,epiestim,1.8544772343542126,2.6591220886470666
2020-02-06,2447.0,2.2005772654375253,2.172107961812944,2.2276034872813746,epiestim,1.1830980840822924,2.2005772654375253
2020-02-07,2841.0,1.9692436194033056,1.9462418818260734,1.992281978309448,epiestim,1.166475741580472,1.9692436194033056
2020-02-08,2147.0,1.7078289742535402,1.6873988717754487,1.7271451810534595,epiestim,0.8083773989604177,1.7078289742535402
2020-02-09,2531.0,1.3563723111740957,1.3401464453944607,1.3727374285811484,epiestim,0.923746245087455,1.3563723111740957
2020-02-10,2097.0,1.181366820064117,1.1668234384825975,1.1957286296785505,epiestim,0.7695401286812436,1.181366820064117
2020-02-11,1638.0,0.9881764503325484,0.975541096154919,1.0005397475680753,epiestim,0.6183709366866937,0.9881764503325484
2020-02-12,0.0,0.0005491063993670217,0.0001590325729924888,0.0013300180685285811,mcmc,0.0005491063993670217,0.7687938600491704
2020-02-13,14840.0,6.176153294951384,6.094957071309844,6.261421351023475,mcmc,6.176153294951384,1.4373596006596752
2020-02-14,6200.0,2.8455876746678386,2.786476270174331,2.9021076963345167,mcmc,2.8455876746678386,1.6455986999337993
2020-02-15,1843.0,0.7231778322659946,0.6954186454321788,0.7532613923714845,mcmc,0.7231778322659946,1.638127720773183
2020-02-16,1933.0,0.49680763369416836,0.4784320768855574,0.5157101544724881,mcmc,0.49680763369416836,1.5065913874368253
2020-02-17,1807.0,0.3555526672621167,0.3418688665514758,0.368987481541582,mcmc,0.3555526672621167,1.3259509285109279
2020-02-18,1693.0,0.32247146021581147,0.3099950507747493,0.33518826056896295,mcmc,0.32247146021581147,1.1840569407555184
2020-02-19,349.0,0.07645444109492402,0.06951432646806407,0.08368626736247252,mcmc,0.07645444109492402,1.10470298686711
2020-02-20,411.0,0.11289388805681633,0.10491037274561409,0.12212819845552092,mcmc,0.11289388805681633,0.5233582893006367
2020-02-21,220.0,0.07919901904522986,0.07014974759697112,0.08810134899002184,mcmc,0.07919901904522986,0.2968660578404541
2020-02-22,1422.0,0.697049985099009,0.6684619031151059,0.7272737675980026,mcmc,0.697049985099009,0.28703038946879494
2020-02-23,0.0,0.0013081486688337265,8.47834933115295e-05,0.0035379163916260895,mcmc,0.0013081486688337265,0.2377522643885104
2020-02-24,203.0,0.19928090164552714,0.1772709036906008,0.22269240519506606,mcmc,0.19928090164552714,0.20705456852901388
2020-02-25,499.0,0.6126042143523589,0.5697728190087858,0.6569121513826346,mcmc,0.6126042143523589,0.1901568783996247
2020-02-26,401.0,0.6002296651654121,0.552695309150073,0.6543624001903993,mcmc,0.6002296651654121,0.2542191806599211
2020-02-27,409.0,0.755946849548797,0.695581112874095,0.8182418271689378,mcmc,0.755946849548797,0.3390348309891332
2020-02-28,318.0,0.6930442628605951,0.6257146626947675,0.7593173895230219,mcmc,0.6930442628605951,0.4662923490797409
2020-02-29,423.0,1.0074005207762877,0.9266944490143176,1.0888386072514495,mcmc,1.0074005207762877,0.42061512283977015
2020-03-01,570.0,1.4176762670438072,1.3182295769936607,1.5190780602493374,mcmc,1.4176762670438072,0.6510659446427726
2020-03-02,196.0,0.4993912316556043,0.44073526215223463,0.5581852346208352,mcmc,0.4993912316556043,0.759872163495105
2020-03-03,114.0,0.2910758614104974,0.2479788896032211,0.3364250058925609,mcmc,0.2910758614104974,0.7394807494032652
2020-03-04,115.0,0.2908160013615583,0.24687579752822847,0.3398178460119144,mcmc,0.2908160013615583,0.7096312223594455
2020-03-05,134.0,0.35542796049663344,0.3055775459836323,0.40718528222743794,mcmc,0.35542796049663344,0.6537393909225594
